Letter,Phoneme,Example,Places of articulation,Manners of articulation,Voiced
g,[k],gaman,Velar,Stop,Un-aspirated
g,[c],gefa,Palatal,Stop,Un-aspirated
g,[ɣ],saga,Velar,Fricative,Voiced
g,[x],sagt,Velar,Fricative,Unvoiced
g,[j],skóginn,Palatal,Fricative,Voiced
g,[ ],fljúga,,,
s,[s],sjö,Alveolar,Fricative,Unvoiced
p, [ph],penni,Labial,Stop,Aspirated
p,[p],tapa,Labial,Stop,Un-aspirated
p,[f],skipta,Labiodental,Fricative,Unvoiced
t,[th],taska,Alveolar,Stop,Aspirated
p,[t],láta,Alveolar,Stop,Un-aspirated
k,[ch],kista,Palatal,Stop,Aspirated
k,[kh],kasta,Velar,Stop,Aspirated
k,[c],poki,Palatal,Stop,Un-aspirated
k,[k],taka,Velar,Stop,Un-aspirated
k,[x],rakt,Velar,Fricative,Unvoiced
b,[p],bær,Labial,Stop,Un-aspirated
d,[t],dalur,Alveolar,Stop,Un-aspirated
v,[v],vasi,Labiodental,Fricative,Voiced
f,[f],fá,Labiodental,Fricative,Unvoiced
f,[v],lifa,Labiodental,Fricative,Voiced
f,[p],sofna,Labial,Stop,Un-aspirated
f,[m],hefnd,Labial,Nasal,Voiced
f,[m̥],nefnt,Labial,Nasal,Unvoiced
ð,[ð],úða,Dental,Fricative,Voiced
ð,[θ],iðka,Dental,Fricative,Unvoiced
þ,[θ],þurfa,Dental,Fricative,Unvoiced
j,[j],já,Palatal,Fricative,Voiced
j,[ç],hjón,Palatal,Fricative,Unvoiced
h,[h],hundur,Glottal,Fricative,Unvoiced
h,[kh],hvað,Velar,Stop,Aspirated
h,[ç],hjón,Palatal,Fricative,Unvoiced
h,[çɛ],hér,Palatal,Fricative,Unvoiced
h,[r°],hrópa,Alveolar,Trill,Unvoiced
h,[l°],hlústa,Alveolar,Lateral,Unvoiced
h,[n°],hnútur,Alveolar,Nasal,Unvoiced
x,[xs],vaxa,Velar,Fricative,Unvoiced
n,[n],nú,Alveolar,Nasal,Voiced
n,[n°],vanta,Alveolar,Nasal,Unvoiced
n,[ɲ],enginn,Palatal,Nasal,Voiced
n,[ɲ°],banki,Palatal,Nasal,Unvoiced
n,[ŋ],fingur,Velar,Nasal,Voiced
n,[ŋ°],banka,Velar,Nasal,Unvoiced
m,[m],mús,Labial,Nasal,Voiced
m,[m°],lampi,Labial,Nasal,Unvoiced
l,[l],lás,Alveolar,Lateral,Voiced
l,[l°],sulta,Alveolar,Lateral,Unvoiced
r,[r],rós,Alveolar,Trill,Voiced
r,[r°],orka,Alveolar,Trill,Unvoiced
